candidate_id,years_experience,education_level,skills,experience_description,position_applied,suitable
CAND_0001,2,bachelor,"communication, adaptability, problem solving, microservices, aws","Experienced fullstack developer with 2 years working with communication, adaptability, problem solving",fullstack_developer,0
CAND_0002,9,phd,"communication, prototyping, teamwork, critical thinking, design, html","Experienced designer with 9 years working with communication, prototyping, teamwork",designer,1
CAND_0003,0,phd,"communication, business intelligence, adaptability, process modeling, sql, excel","Experienced business analyst with 0 years working with communication, business intelligence, adaptability",business_analyst,1
CAND_0004,2,master,"docker, communication, programming, python, problem solving, javascript, c#","Experienced software developer with 2 years working with docker, communication, programming",software_developer,1
CAND_0005,8,master,"stakeholder management, risk management, teamwork, pmp, project management, scrum, agile","Experienced project manager with 8 years working with stakeholder management, risk management, teamwork",project_manager,1
CAND_0006,9,bachelor,"machine learning, statistics, python, critical thinking, problem solving, creativity, sql, numpy","Experienced data scientist with 9 years working with machine learning, statistics, python",data_scientist,1
CAND_0007,1,bachelor,"teamwork, responsive design, vue, critical thinking, javascript, figma, html, time management, webpack, css","Experienced frontend developer with 1 years working with teamwork, responsive design, vue",frontend_developer,1
CAND_0008,5,high_school,"jenkins, docker, communication, linux, kubernetes, azure, monitoring, ansible","Experienced devops engineer with 5 years working with jenkins, docker, communication",devops_engineer,1
CAND_0009,5,master,"photoshop, indesign, web design, typography, time management, illustrator","Experienced graphic designer with 5 years working with photoshop, indesign, web design",graphic_designer,0
CAND_0010,3,bachelor,"agile, git, problem solving, programming","Experienced developer with 3 years working with agile, git, problem solving",developer,1
CAND_0011,0,high_school,"tableau, time management, data visualization, statistics","Experienced data analyst with 0 years working with tableau, time management, data visualization",data_analyst,0
CAND_0012,4,bachelor,"communication, docker, teamwork, leadership, api, sql","Experienced backend developer with 4 years working with communication, docker, teamwork",backend_developer,1
CAND_0013,0,bachelor,"tableau, statistics, leadership, excel, reporting, data analysis, powerbi","Experienced analyst with 0 years working with tableau, statistics, leadership",analyst,1
CAND_0014,0,master,"leadership, communication, project management","Experienced project manager with 0 years working with leadership, communication, project management",project_manager,1
CAND_0015,2,master,"machine learning, pytorch, statistics, spark, adaptability, critical thinking, scipy","Experienced data scientist with 2 years working with machine learning, pytorch, statistics",data_scientist,0
CAND_0016,0,phd,"mongodb, communication, nodejs, vue, javascript, css, html, time management, typescript, php","Experienced web developer with 0 years working with mongodb, communication, nodejs",web_developer,1
CAND_0017,1,master,"machine learning, data visualization, problem solving","Experienced data analyst with 1 years working with machine learning, data visualization, problem solving",data_analyst,0
CAND_0018,0,master,"design, teamwork","Experienced designer with 0 years working with design, teamwork",designer,1
CAND_0019,9,associate,"communication, python, creativity, time management, powerbi","Experienced business analyst with 9 years working with communication, python, creativity",business_analyst,0
CAND_0020,7,phd,"teamwork, c++, programming","Experienced software developer with 7 years working with teamwork, c++, programming",software_developer,1
CAND_0021,7,bachelor,"tableau, pandas, teamwork, python, critical thinking, sql, excel","Experienced data analyst with 7 years working with tableau, pandas, teamwork",data_analyst,1
CAND_0022,0,master,"testing, python, critical thinking, leadership, javascript, c++, agile","Experienced software developer with 0 years working with testing, python, critical thinking",software_developer,0
CAND_0023,7,high_school,"teamwork, typescript, webpack","Experienced frontend developer with 7 years working with teamwork, typescript, webpack",frontend_developer,0
CAND_0024,7,bachelor,"responsive design, vue, critical thinking, react, javascript, html, css","Experienced frontend developer with 7 years working with responsive design, vue, critical thinking",frontend_developer,1
CAND_0025,0,phd,"adaptability, jira, risk management, teamwork, project management, agile","Experienced project manager with 0 years working with adaptability, jira, risk management",project_manager,1
CAND_0026,3,bachelor,"adaptability, teamwork, creativity, agile, analytics, roadmap planning","Experienced product manager with 3 years working with adaptability, teamwork, creativity",product_manager,0
CAND_0027,2,phd,"ui/ux, prototyping, adaptability, critical thinking, design, sketch","Experienced ui ux designer with 2 years working with ui/ux, prototyping, adaptability",ui_ux_designer,1
CAND_0028,1,master,"adaptability, critical thinking, design, adobe creative suite, creativity","Experienced graphic designer with 1 years working with adaptability, critical thinking, design",graphic_designer,1
CAND_0029,7,phd,"teamwork, responsive design, angular","Experienced frontend developer with 7 years working with teamwork, responsive design, angular",frontend_developer,0
CAND_0030,7,master,"reporting, sql, creativity","Experienced analyst with 7 years working with reporting, sql, creativity",analyst,0
CAND_0031,12,associate,"mongodb, adaptability, critical thinking, problem solving, javascript, postgresql, sql, html, css","Experienced fullstack developer with 12 years working with mongodb, adaptability, critical thinking",fullstack_developer,1
CAND_0032,8,associate,"docker, problem solving, java, api, sql, creativity, c#","Experienced backend developer with 8 years working with docker, problem solving, java",backend_developer,1
CAND_0033,1,bachelor,"tableau, statistics, r, leadership, creativity, sql, excel, data analysis","Experienced analyst with 1 years working with tableau, statistics, r",analyst,1
CAND_0034,10,master,"pandas, tensorflow, communication, adaptability, teamwork, python, sql, numpy, scipy","Experienced data scientist with 10 years working with pandas, tensorflow, communication",data_scientist,1
CAND_0035,9,associate,"teamwork, critical thinking, creativity, sql, excel","Experienced business analyst with 9 years working with teamwork, critical thinking, creativity",business_analyst,1
CAND_0036,0,associate,"teamwork, problem solving, creativity, project management, agile","Experienced project manager with 0 years working with teamwork, problem solving, creativity",project_manager,1
CAND_0037,4,phd,"adaptability, jira, problem solving, leadership, scrum, time management","Experienced project manager with 4 years working with adaptability, jira, problem solving",project_manager,0
CAND_0038,9,bachelor,"hyper-v, adaptability, teamwork, leadership, monitoring","Experienced system administrator with 9 years working with hyper-v, adaptability, teamwork",system_administrator,0
CAND_0039,5,phd,"tableau, teamwork, problem solving, process modeling, creativity","Experienced business analyst with 5 years working with tableau, teamwork, problem solving",business_analyst,0
CAND_0040,11,associate,"communication, programming, problem solving, c++, time management, c#","Experienced software developer with 11 years working with communication, programming, problem solving",software_developer,1
